"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"m2","chi7im",3,"i","rearticulated","H",113,9.9375,2.268,-1.50325,-7.84625,-13.511,-13.3535,7.66975,3.771,17.78375,23.44875,23.29125,7.08725,23.12875,18.08225,-0.811071516239147,25.1215,43.69625,46.059,44.026,0,0.04775,96.16825,287.7945,2674.86025
"m2","chib",1,"i","modal","F",120,11.8,5.9455,-4.12125,-1.176,-21.6995,-10.31075,5.85475,10.067,12.97625,33.5,22.111,5.27025,18.32075,15.627,-0.333248087588182,14.5275,35.11725,39.036,39.2925,0,0.043,101.353,292.48175,1733.0075
"m2","chib",2,"i","modal","F",103,9.5185,3.606,-6.51275,-3.4835,-21.20625,3.05775,5.9125,10.11875,13.00225,30.725,6.46075,5.25025,19.6855,17.8485,-0.587959669808342,20.683,41.383,43.876,44.105,0,0.04475,99.663,285.7,1841.1005
"m2","chib",3,"i","modal","F",92,9.65725,1.23,-7.05475,-3.3415,-22.4005,-6.95525,8.427,8.28475,12.99875,32.05775,16.61225,6.81425,14.579,15.21225,-0.640164517660112,18.6185,36.233,39.76,39.254,0,0.046,98.10575,287.3435,1825.4625
"m2","jid",1,"i","modal","R",167,7.59925,-1.959,-2.086,-8.44825,-24.1445,-10.9295,9.55825,0.127,16.04725,31.74375,18.529,25.4135,7.355,17.2955,-0.866461091629782,20.45825,37.3755,40.48175,39.3645,0,0.04075,87.67025,300.541,1999.98675
"m2","jid",2,"i","modal","R",147,3.51925,-8.11075,-7.357,-14.2815,-27.61725,-11.01875,11.63,-0.75375,17.80075,31.1365,14.53775,15.0505,16.1745,16.26725,-1.39523411529611,20.92725,38.837,42.2365,41.64275,0,0.03225,83.64325,273.3075,1889.79225
"m2","jid",3,"i","modal","R",153,1.1605,-10.77625,-10.69225,-17.04825,-29.5145,-15.37775,11.937,-0.0840000000000001,18.20875,30.67475,16.5385,24.10325,3.04875,16.21975,-1.70996538863748,24.6785,41.9855,44.8935,44.32025,0,0.02525,81.49675,279.53325,1968.533
"m2","libr",1,"i","modal","H",118,11.9885,6.301,0.9215,-8.179,-16.63525,-12.37975,5.6875,5.37975,20.1675,28.62375,24.36825,13.248,14.332,19.98325,-0.327440372236724,28.12075,46.81725,47.85525,46.62275,0,0.04775,111.70325,291.26225,1821.6115
"m2","libr",2,"i","modal","H",120,11.752,7.08,-1.192,-0.6745,-16.95325,-12.17625,4.672,8.27175,12.4265,28.705,23.92825,16.386,11.806,18.64875,-0.29627884007298,18.40275,37.77275,42.12925,43.52175,0,0.03575,104.51225,298.03075,1910.89725
"m2","libr",3,"i","modal","H",122,10.792,5.90775,0.7205,-1.24975,-17.42475,-13.0085,4.88425,5.187,12.04175,28.21675,23.80025,16.79725,12.80175,17.11425,-0.404503778174426,15.35,37.90675,40.7515,42.389,0,0.024,96.6435,288.364,1904.612
