"idnum","measurement.no","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1h2c","h1c","h2c","h4c","h2h4c","h42Kc","h2Kh5Kc","h1a1c","h1a2c","h1a3c","cpp","shr","hnr05","hnr15","hnr25","hnr35","f0","f1","f2","sB1","sB2","energy","soe","a1c","a2c","a3c","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
688,"02","f6","yich",1,"i","modal","L",84,5.166,-3.603,-8.769,-13.552,4.783,8.432,17.678,20.79,27.76,13.614,14.689,0,30.312,44.498,48.514,48.609,223.932,334.369,1629.038,83.507,727.589,-1.431798275933,0.121,-24.393,-31.363,-17.217,-0.0163449913667565,-0.1489435319871,-0.639117859655009,-0.825940369281678,-1.26613388651004,-0.137998094267983,0.128097440934527,0.549959660877315,0.0863333521808721,-0.328605132945985,0.835327813701807,1.20219727673046,0.118260113619569,0.202579596557198,0.660089409977955,0.832838038135173,0.816217757721784,0.734950594187107,0.0856559905491873,-0.803139598474281,-0.250465518420247,0.97643082710217,-0.146915730475504
688,"03","f6","yich",1,"i","modal","L",84,5.166,-3.603,-8.769,-13.552,4.783,8.432,17.678,20.79,27.76,13.614,14.689,0,30.312,44.498,48.514,48.609,218.284,366.46,1644.378,76.828,634.338,-1.52287874528034,0.092,-24.393,-31.363,-17.217,-0.0163449913667565,-0.1489435319871,-0.639117859655009,-0.825940369281678,-1.26613388651004,-0.137998094267983,0.128097440934527,0.549959660877315,0.0863333521808721,-0.328605132945985,0.835327813701807,1.20219727673046,0.118260113619569,-0.037254718841673,0.660089409977955,0.832838038135173,0.816217757721784,0.734950594187107,0.0856559905491873,-0.803139598474281,-0.250465518420247,0.921263631197988,0.00766718092065537
688,"04","f6","yich",1,"i","modal","L",84,6.628,-3.107,-9.735,-14.983,5.248,5.346,17.464,21.16,28.793,11.789,15.152,0,32.136,44.896,49.184,48.514,215.794,364.713,1858.778,82.774,896.973,-1.61978875828839,0.092,-24.267,-31.9,-14.896,0.0970943773966296,-0.334548121241774,-0.846177215160687,-0.812872681028649,-1.33589096609799,0.160628305989687,0.394229069053114,0.620181244908334,-0.334313038076662,-0.351955798454049,0.874488861419696,1.33055047302616,-0.0973296822133267,-0.292439466918111,0.864039546455918,0.866251060581124,0.869161905634042,0.727367914054175,0.190377881903741,-0.803139598474281,-0.250465518420247,0.921263631197988,0.285583435470574
688,"05","f6","yich",1,"i","modal","L",84,6.84,-3.373,-10.213,-15.11,4.897,9.618,13.822,21.247,28.961,13.289,15.111,0,31.995,45.176,49.376,48.919,212.745,337.55,1907.482,86.037,948.676,-1.60205999132796,0.097,-24.62,-32.334,-16.662,0.0362579417291685,-0.426389729589324,-0.864553552092358,-0.849482950499437,-1.39226819615603,-0.0665902303545806,0.432819975456083,0.567175275026855,0.247994602616852,-0.74935357312866,0.883696999666876,1.35142495219139,0.0798674102520672,-0.245755839601628,0.848273664195286,0.889757709538075,0.884333959961136,0.759694076726148,0.181104453079688,-0.803139598474281,-0.250465518420247,0.93190757195849,0.194657514847162
688,"06","f6","yich",1,"i","modal","L",84,5.363,-3.469,-8.832,-13.847,5.015,12.509,13.829,21.988,28.173,15.538,14.442,0,30.712,45.305,49.428,49.37,209.886,308.933,1696.966,80.907,996.938,-1.58502665202918,0.112,-25.457,-31.642,-19.007,0.014301934871739,-0.161048179112405,-0.681803051740386,-0.936289736751701,-1.30237639154736,-0.368304538240939,0.163957858676908,0.584994945813221,0.642060939050595,-0.748589766312976,0.962124935772163,1.25351370467831,0.345544917555181,-0.200903421745711,0.704815317100315,0.900587558521813,0.888443058008058,0.795691852936173,0.0297892364140365,-0.803139598474281,-0.250465518420247,0.960854907769106,0.143792311556379
688,"07","f6","yich",1,"i","modal","L",84,3.6,-3.451,-7.05,-12.342,5.291,9.09,18.821,21.535,27.28,14.542,14.551,0,29.037,44.267,48.338,48.864,205.656,300.534,1656.45,78.499,628.762,-1.61978875828839,0.111,-24.986,-30.73,-17.992,0.018418686157507,0.181340411003359,-0.464036224321766,-0.88744147352014,-1.18390626755442,-0.237711778111022,-0.156965575230799,0.626674853754213,0.176023995340126,-0.203886391470675,0.914179112485125,1.14255590768696,0.22788604815816,-0.292439466918111,0.517525581025431,0.813445052745689,0.802310041255281,0.755304104017609,0.0544429862145686,-0.803139598474281,-0.250465518420247,0.959048204135239,0.206907744231452
688,"08","f6","yich",1,"i","modal","L",84,3.812,-3.755,-7.568,-12.342,4.774,5.395,22.311,19.909,26.836,12.754,14.799,0,29.154,43.771,47.489,48.102,197.916,336.332,1731.211,81.668,541.441,-1.69897000433602,0.075,-23.665,-30.591,-16.509,-0.05110866889102,0.0818133124175194,-0.464036224321766,-0.7504381704864,-1.16584996576163,-0.0469048192216969,-0.11837466882783,0.548600533444457,-0.327633947628633,0.176925863777649,0.742082183865427,1.08738764132173,0.01666711393941,-0.500940587678067,0.530607908858722,0.771804703164804,0.735221113527658,0.694483027582933,0.11053592154055,-0.803139598474281,-0.250465518420247,0.880233766263512,0.271767790013507
688,"09","f6","yich",1,"i","modal","L",84,5.675,-4.403,-10.078,-13.471,3.393,5.358,21.438,18.359,26.752,12.093,14.058,0.352,29.142,43.121,46.801,47.156,188.617,331.014,1804.782,97.157,593.717,-1.72124639904717,0.068,-22.762,-31.155,-16.496,-0.199311715178669,-0.4004512000351,-0.627397518777329,-0.656786404673026,-1.23911438454674,-0.0452322025894909,0.220752022817127,0.340049979580292,-0.332677342456736,0.081668242335876,0.578029146128322,1.07695040173911,-0.0614177381403402,-0.559599089477506,0.529266131645051,0.717235696657597,0.680854585522236,0.618975496996052,-0.0570643408649024,0.462829084651586,-0.250465518420247,0.86059408937334,0.161372519361357
688,"10","f6","yich",1,"i","modal","L",84,5.675,-4.403,-10.078,-13.471,3.393,5.358,21.438,18.359,26.752,12.093,14.058,0.352,29.142,43.121,46.801,47.156,195.899,331.014,1804.782,97.157,593.717,-1.72124639904717,0.067,-22.762,-31.155,-16.496,-0.199311715178669,-0.4004512000351,-0.627397518777329,-0.656786404673026,-1.23911438454674,-0.0452322025894909,0.220752022817127,0.340049979580292,-0.332677342456736,0.081668242335876,0.578029146128322,1.07695040173911,-0.0614177381403402,-0.559599089477506,0.529266131645051,0.717235696657597,0.680854585522236,0.618975496996052,-0.0570643408649024,0.462829084651586,-0.250465518420247,0.85762684221502,0.161372519361357
689,"01","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,215.555,244.731,2780.251,81.087,282.061,-1.431798275933,0.042,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.202579596557198,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.764474531994346,0.0461141631460642
689,"02","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,211.03,244.731,2780.251,81.087,282.061,-1.431798275933,0.073,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.202579596557198,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.874813369826168,0.0461141631460642
689,"03","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,199.48,254.933,2781.067,101.896,357.09,-1.49485002168009,0.063,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.0365508926614201,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.845304716838847,0.153126374392216
689,"04","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,194.456,251.499,2757.357,92.386,302.608,-1.49485002168009,0.075,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.0365508926614201,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.880233766263512,0.153126374392216
689,"05","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,194.543,251.802,2753.4,82.121,254.965,-1.45593195564972,0.09,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.139030466931588,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.916844917596421,0.0870741461154775
689,"06","f6","yich",2,"i","modal","L",48,-0.332,-2.759,-2.428,-6.457,4.029,2.823,27.541,7.361,10.691,14.554,14.038,0,21.971,36.878,42.663,43.223,191.834,248.704,2772.471,76.422,231.621,-1.39794000867204,0.092,-10.12,-13.45,-17.313,0.176684902254812,1.06939880803762,0.387497183889916,0.654338316714214,1.0607908186276,-0.150349724782734,-0.872717669459447,0.43609498483562,-0.67821804216602,0.747598670353217,-0.586006537118565,-0.918674657026818,0.229303624897883,0.291735640737859,-0.272557568291063,0.1931213772353,0.353865206326828,0.305052539492665,-0.0615879646815137,-0.803139598474281,-1.23839917730873,0.921263631197988,-0.011350511394317
689,"07","f6","yich",2,"i","modal","L",48,-0.294,-2.847,-2.553,-6.642,4.089,2.789,27.345,7.794,10.738,14.721,14.069,0,21.82,36.689,42.508,43.132,189.444,233.642,2806.214,67.041,235.235,-1.36653154442041,0.097,-10.64,-13.584,-17.568,0.156558562635501,1.04538165104297,0.36072850410756,0.600408174717586,1.04338402409355,-0.18315874333754,-0.865800431519292,0.44515583438801,-0.682852513089142,0.726212079514056,-0.540177527221684,-0.912834772974643,0.24903156785903,0.374440830725319,-0.289441598229754,0.177254389189358,0.341616933302351,0.297789130102172,-0.0545763477657659,-0.803139598474281,-1.23839917730873,0.93190757195849,-0.0847836892555674
689,"08","f6","yich",2,"i","modal","L",48,-0.368,-2.667,-2.3,-6.261,3.961,2.903,27.759,6.932,10.653,14.422,13.959,0,22.315,37.303,43.016,43.435,187.911,222.137,2838.201,68.983,370.82,-1.36653154442041,0.101,-9.599,-13.32,-17.089,0.197726075493182,1.09399237680015,0.415857514902573,0.708372170522373,1.07767800735467,-0.121529253581649,-0.879270842244857,0.425826022009579,-0.667313404699849,0.771385796898814,-0.631412184337416,-0.923396265409429,0.213710280760928,0.374440830725319,-0.234093288165833,0.228801112259243,0.381759660376122,0.321973888841945,-0.0794562787571289,-0.803139598474281,-1.23839917730873,0.940038769053927,-0.0436161763978869
689,"09","f6","yich",2,"i","modal","L",48,-0.368,-2.667,-2.3,-6.261,3.961,2.903,27.759,6.932,10.653,14.422,13.959,0,22.315,37.303,43.016,43.435,186.163,222.137,2838.201,68.983,370.82,-1.36653154442041,0.101,-9.599,-13.32,-17.089,0.197726075493182,1.09399237680015,0.415857514902573,0.708372170522373,1.07767800735467,-0.121529253581649,-0.879270842244857,0.425826022009579,-0.667313404699849,0.771385796898814,-0.631412184337416,-0.923396265409429,0.213710280760928,0.374440830725319,-0.234093288165833,0.228801112259243,0.381759660376122,0.321973888841945,-0.0794562787571289,-0.803139598474281,-1.23839917730873,0.940038769053927,-0.0436161763978869
689,"10","f6","yich",2,"i","modal","L",48,-0.368,-2.667,-2.3,-6.261,3.961,2.903,27.759,6.932,10.653,14.422,13.959,0,22.315,37.303,43.016,43.435,181.224,222.137,2838.201,68.983,370.82,-1.36653154442041,0.05,-9.599,-13.32,-17.089,0.197726075493182,1.09399237680015,0.415857514902573,0.708372170522373,1.07767800735467,-0.121529253581649,-0.879270842244857,0.425826022009579,-0.667313404699849,0.771385796898814,-0.631412184337416,-0.923396265409429,0.213710280760928,0.374440830725319,-0.234093288165833,0.228801112259243,0.381759660376122,0.321973888841945,-0.0794562787571289,-0.803139598474281,-1.23839917730873,0.799154649580786,-0.0436161763978869
