"idnum","percent","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","F0","F1","F2","F3","F4","Energy"
1010,"10","f8","duh",3,"u","breathy","L",116,142.123,163.028,1413.16,3277.304,4016.962,0.03
1011,"01","f8","gwanhax",1,"a","modal","F",105,166.784,308.941,1682.914,3305.487,3804.235,0.146
1011,"02","f8","gwanhax",1,"a","modal","F",105,170.73,331.059,1697.329,3394.95,3840.745,0.151
1011,"03","f8","gwanhax",1,"a","modal","F",105,171.101,331.921,1727.602,3417.943,3840.984,0.154
1011,"04","f8","gwanhax",1,"a","modal","F",105,170.518,330.14,1754.322,3366.998,3811.424,0.157
1011,"05","f8","gwanhax",1,"a","modal","F",105,169.408,306.399,1726.094,3301.305,3809.216,0.157
1011,"06","f8","gwanhax",1,"a","modal","F",105,168.382,290.484,1698.176,3245.976,3815.084,0.152
1011,"07","f8","gwanhax",1,"a","modal","F",105,167.18,278.499,1670.903,3229.001,3795.893,0.144
1011,"08","f8","gwanhax",1,"a","modal","F",105,165.742,303.864,1611.747,3271.008,3744.659,0.129
1011,"09","f8","gwanhax",1,"a","modal","F",105,164.889,301.911,1565.715,3220.875,3775.795,0.11
1011,"10","f8","gwanhax",1,"a","modal","F",105,161.823,301.911,1565.715,3220.875,3775.795,0.11
1012,"01","f8","gwanhax",1,"a","modal","L",66,157.608,345.365,1625.807,3213.082,4026.812,0.142
1012,"02","f8","gwanhax",1,"a","modal","L",66,162.143,354.505,1567.466,3125.796,3891.378,0.142
1012,"03","f8","gwanhax",1,"a","modal","L",66,161.023,372.305,1569.504,3123.937,3945.221,0.157
1012,"04","f8","gwanhax",1,"a","modal","L",66,160.063,359.092,1581.911,3157.45,4021.77,0.15
1012,"05","f8","gwanhax",1,"a","modal","L",66,160.542,349.32,1613.469,3201.672,4034.39,0.139
1012,"06","f8","gwanhax",1,"a","modal","L",66,161.121,340.575,1639.17,3257.705,4049.603,0.134
1012,"07","f8","gwanhax",1,"a","modal","L",66,160.735,330.077,1660.829,3263.48,4075.655,0.135
1012,"08","f8","gwanhax",1,"a","modal","L",66,159.982,325.655,1692.906,3224.502,4054.016,0.137
1012,"09","f8","gwanhax",1,"a","modal","L",66,162.39,308.057,1701.327,3466.645,4057.922,0.137
1012,"10","f8","gwanhax",1,"a","modal","L",66,161.759,308.057,1701.327,3466.645,4057.922,0.137
1013,"01","f8","gwanhax",2,"a","modal","F",104,161.459,312.885,1708.444,3296.533,3869.038,0.07
1013,"02","f8","gwanhax",2,"a","modal","F",104,162.434,323.501,1769.126,3338.755,3922.173,0.083
1013,"03","f8","gwanhax",2,"a","modal","F",104,162.935,324.762,1741.984,3293.907,3968.533,0.077
1013,"04","f8","gwanhax",2,"a","modal","F",104,162.202,338.974,1710.521,3241.555,3991.776,0.074
1013,"05","f8","gwanhax",2,"a","modal","F",104,160.972,333.087,1672.684,3258.833,3929.77,0.073
1013,"06","f8","gwanhax",2,"a","modal","F",104,160.489,311.585,1664.173,3301.654,3861.24,0.072
1013,"07","f8","gwanhax",2,"a","modal","F",104,159.645,297.045,1709.969,3328.689,3804.646,0.067
1013,"08","f8","gwanhax",2,"a","modal","F",104,157.743,291.271,1725.691,3350.452,3794.35,0.059
1013,"09","f8","gwanhax",2,"a","modal","F",104,154.359,280.228,1678.622,3265.622,3671.735,0.052
1013,"10","f8","gwanhax",2,"a","modal","F",104,152.617,280.228,1678.622,3265.622,3671.735,0.052
1014,"01","f8","gwanhax",2,"a","modal","L",82,150.077,883.341,1672.865,3156.055,3938.658,0.081
1014,"02","f8","gwanhax",2,"a","modal","L",82,154.301,837.958,1413.132,3083.913,3896.364,0.109
1014,"03","f8","gwanhax",2,"a","modal","L",82,154.974,962.791,1490.616,3105.999,3898.912,0.104
1014,"04","f8","gwanhax",2,"a","modal","L",82,154.419,921.157,1607.788,3161.177,3935.863,0.092
1014,"05","f8","gwanhax",2,"a","modal","L",82,153.055,856.45,1688.3,3148.959,3938.223,0.086
1014,"06","f8","gwanhax",2,"a","modal","L",82,153.707,823.443,1731.473,3142.538,3928.155,0.075
1014,"07","f8","gwanhax",2,"a","modal","L",82,154.158,868.418,1777.441,3196.434,3974.354,0.065
1014,"08","f8","gwanhax",2,"a","modal","L",82,154.462,880.615,1802.352,3213.809,4002.486,0.06
1014,"09","f8","gwanhax",2,"a","modal","L",82,153.127,911.187,1818.237,3181.883,3904.948,0.06
1014,"10","f8","gwanhax",2,"a","modal","L",82,149.387,911.187,1818.237,3181.883,3904.948,0.06
1015,"01","f8","gwanhax",3,"a","modal","F",135,155.565,293.547,1806.001,3249.405,3767.819,0.03
1015,"02","f8","gwanhax",3,"a","modal","F",135,157.323,297.43,1758.468,3268.651,3802.115,0.043
1015,"03","f8","gwanhax",3,"a","modal","F",135,157.027,293.753,1752.564,3264.124,3822.219,0.04
1015,"04","f8","gwanhax",3,"a","modal","F",135,155.646,285.211,1820.413,3297.089,3813.223,0.038
1015,"05","f8","gwanhax",3,"a","modal","F",135,153.45,277.677,1781.774,3257.589,3780.194,0.034
1015,"06","f8","gwanhax",3,"a","modal","F",135,151.714,255.106,1712.815,3255.527,3771.145,0.027
1015,"07","f8","gwanhax",3,"a","modal","F",135,147.927,203.988,1726.999,3217.802,3668.212,0.022
1015,"08","f8","gwanhax",3,"a","modal","F",135,148.646,180.032,1757.088,3201.751,3686.361,0.019
1015,"09","f8","gwanhax",3,"a","modal","F",135,145.947,183.082,1744.126,3199.395,3716.142,0.017
1015,"10","f8","gwanhax",3,"a","modal","F",135,148.473,209.774,1785.035,3296.756,4109.186,0.017
1016,"01","f8","gwanhax",3,"a","modal","L",63,147.968,275.46,1749.953,3317.662,3916.324,0.042
1016,"02","f8","gwanhax",3,"a","modal","L",63,151.721,294.979,1661.884,3258.631,3952.322,0.042
1016,"03","f8","gwanhax",3,"a","modal","L",63,153.459,297.306,1716.056,3276.744,3974.764,0.047
1016,"04","f8","gwanhax",3,"a","modal","L",63,153.234,292.088,1791.726,3306.458,3987.478,0.045
1016,"05","f8","gwanhax",3,"a","modal","L",63,152.22,279.017,1805.847,3326.489,3966.226,0.042
1016,"06","f8","gwanhax",3,"a","modal","L",63,151.658,260.409,1772.563,3328.081,3924.74,0.041
1016,"07","f8","gwanhax",3,"a","modal","L",63,151.64,253.998,1718.917,3341.235,3867.195,0.039
1016,"08","f8","gwanhax",3,"a","modal","L",63,152.067,266.294,1715.022,3334.521,3797.338,0.038
1016,"09","f8","gwanhax",3,"a","modal","L",63,150.008,299.279,1653.091,3261.772,3722.639,0.038
1016,"10","f8","gwanhax",3,"a","modal","L",63,146.409,299.279,1653.091,3261.772,3722.639,0.038
1017,"01","f8","iz",1,"i","modal","L",116,176.44,303.654,1959.535,2753.58,4000.268,0.196
1017,"02","f8","iz",1,"i","modal","L",116,169.42,309.541,1954.404,2554.458,4035.456,0.162
1017,"03","f8","iz",1,"i","modal","L",116,168.068,314.748,1945.838,2684.437,4023.939,0.204
1017,"04","f8","iz",1,"i","modal","L",116,164.146,316.045,1936.108,2950.575,4000.563,0.22
1017,"05","f8","iz",1,"i","modal","L",116,160.951,317.359,1985.797,2904.605,4014.15,0.222
1017,"06","f8","iz",1,"i","modal","L",116,158.691,315.084,2201.376,2877.82,4057.032,0.216
1017,"07","f8","iz",1,"i","modal","L",116,155.648,307.942,2311.801,2910.438,4095.414,0.205
1017,"08","f8","iz",1,"i","modal","L",116,151.292,304.676,2054.932,2936.941,4177.837,0.165
1017,"09","f8","iz",1,"i","modal","L",116,144.919,288.734,2062.376,2937.778,4199.674,0.14
1017,"10","f8","iz",1,"i","modal","L",116,141.585,288.734,2062.376,2937.778,4199.674,0.14
1018,"01","f8","iz",2,"i","modal","L",89,164.457,303.075,2157.616,2820.648,4089.491,0.14
1018,"02","f8","iz",2,"i","modal","L",89,163.715,308.609,1979.894,2339.37,4009.261,0.121
1018,"03","f8","iz",2,"i","modal","L",89,162.399,312.456,2068.102,2315.773,4031.747,0.134
1018,"04","f8","iz",2,"i","modal","L",89,159.683,314.043,2171.232,2400.107,4051.694,0.149
1018,"05","f8","iz",2,"i","modal","L",89,156.667,311.491,2233.253,2606.576,4108.62,0.158
1018,"06","f8","iz",2,"i","modal","L",89,153.824,306.796,2073.867,2898.772,4113.602,0.158
1018,"07","f8","iz",2,"i","modal","L",89,151.004,300.129,2177.13,3209.505,4067.438,0.139
1018,"08","f8","iz",2,"i","modal","L",89,147.375,290.826,2321.417,3366.879,4107.813,0.114
1018,"09","f8","iz",2,"i","modal","L",89,142.283,274.146,2218.023,3492.671,4235.006,0.103
1018,"10","f8","iz",2,"i","modal","L",89,142.713,274.146,2218.023,3492.671,4235.006,0.103
1019,"01","f8","iz",3,"i","modal","L",75,157.219,297.369,2473.763,3051.25,4055.947,0.067
1019,"02","f8","iz",3,"i","modal","L",75,158.222,308.266,2115.474,2844.407,3945.078,0.069
1019,"03","f8","iz",3,"i","modal","L",75,157.228,309.71,2139.309,2823.401,3944.789,0.073
1019,"04","f8","iz",3,"i","modal","L",75,154.816,310.04,2208.535,2853.736,3953.631,0.078
1019,"05","f8","iz",3,"i","modal","L",75,153.247,308.057,2368.999,2943.561,4008.926,0.075
1019,"06","f8","iz",3,"i","modal","L",75,150.588,303.192,2691.082,3081.958,4074.167,0.067
