Row,Filename,Language,Sex,Phonation,Tone,Vowel,Lg_phon,Lg_speaker,H1c_means002,H2c_means002,H4c_means002,A1c_means002,A2c_means002,A3c_means002,H1H2c_means002,H2H4c_means002,H1A1c_means002,H1A2c_means002,H1A3c_means002,H42Kc_means002,H2KH5Kc_means002,CPP_means002,Energy_means002,HNR05_means002,HNR15_means002,HNR25_means002,HNR35_means002,SHR_means002,strF0_means002,soe_means002
45,Maz_F4_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F4,1,0.189086118,0.852290745,0.777598132,0.982821812,1,1,0,0.531871947,0.249484598,0.319112961,0.805590305,0.758511875,0.891757137,1,1,1,1,1,0,0.363120775,0.784615385
46,Maz_F4_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F4,0.532039608,1,1,1,0.907862447,0.929444861,0,0.182347901,0,0.074008784,0.112830851,1,0.852543874,0.505749899,0.177196553,0.571671448,0.698050202,0.714689443,0.692093269,0,0.15930614,0.815384615
47,Maz_F4_ndae11C.mat,Mz,F,C,11,A,MzC,Mz_F4,0.368142499,0.723686035,0.420095135,0.694332166,0.88341779,0.951575394,0.055477458,0.664010283,0.158491785,0.010905614,0,0,0.759203897,0.968476076,0.79972286,0.660158325,0.616917112,0.578063179,0.545749049,1,0.256890117,0.569230769
48,Maz_F4_ndae33C.mat,Mz,F,C,33,A,MzC,Mz_F4,0.219838379,0.512203578,0.344794014,0.375729812,0.655480129,0.401687922,0.077768852,0.654184519,0.33971176,0.146732798,0.391981531,0.340265833,0.655234457,0.458303177,0.207205647,0,0,0,0,0.643695015,0.062306579,0.061538462
49,Maz_F4_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F4,0.8805486,0.562057967,0.896241898,0.785906764,1,0.849699925,0.624510493,0.108540417,0.439667353,0.170635513,0.381121155,0.562353401,1,0.960916767,0.821374442,0.965651897,0.958117554,0.95167368,0.964176743,0,0.20798523,0.8
50,Maz_F4_nka33C.mat,Mz,F,C,33,a,MzC,Mz_F4,0.372865923,0.68575787,0.603104398,0.740546124,0.768524716,0.787021755,0.087107139,0.460468438,0.120301966,0.121097135,0.145379463,0.575019547,0.620716382,0.933655006,0.70943576,0.764424609,0.728980955,0.732839289,0.856970656,0,0.686461502,0.692307692
51,Maz_F4_wa11C.mat,Mz,F,C,11,a,MzC,Mz_F4,0.374687002,0.515462488,0.371581963,0.541812629,0.667750263,0.694448612,0.212019279,0.628020566,0.300230108,0.216558606,0.226702218,0.02275215,0.828406134,0.87929232,0.635690469,0.800977579,0.659139146,0.707404384,0.788488341,0.683284457,0.899799439,1
52,Maz_F4_wae55C.mat,Mz,F,C,55,A,MzC,Mz_F4,0.260186661,0.43620857,0.448440847,0.559148477,0.834624088,0.841785446,0.168440606,0.516452442,0.203423358,0,0.033524094,0.463760751,0.559846094,0.704543627,0.224743429,0.536659229,0.477261794,0.489449224,0.46370588,0.309384164,1,0
53,Maz_F5_ba33C.mat,Mz,F,C,33,a,MzC,Mz_F5,0.332535885,0.163985268,0.795839049,0.617921081,0.228631217,0.901670574,0.523933347,0.076218831,0.360881892,0.706647969,0.210172002,0.718315133,0.718912066,0.796707563,0.138446132,0.878118469,0.787972457,0.766712838,0.730689043,0.65571205,0.787109467,0.676190476
54,Maz_F5_bae55C.mat,Mz,F,C,55,A,MzC,Mz_F5,0.227870813,0.224849777,0.661865569,1,1,0.689258499,0.414402462,0.230442873,0.109813381,0,0.248847151,0.3150078,0.667396566,0.807889424,0.51422849,0.815630043,0.796491757,0.731962771,0.670433193,0.868544601,0.920239322,0.828571429
55,Maz_F5_chatae11M.mat,Mz,F,M,11,A,MzM,Mz_F5,0.813636364,0.545260709,0,0,0.608627998,0.566016999,0.846370197,1,0.987516398,0.748849643,0.635093743,0,0.499942376,0.328933064,0.078527915,0.590385989,0.707805589,0.679254453,0.64551749,0,0.787877563,0.466666667
56,Maz_F5_ja33C.mat,Mz,F,C,33,a,MzC,Mz_F5,0.508014354,0.210505912,0.605928974,0.091614907,0.423244084,0.16573857,0.666896625,0.279568292,0.72887309,0.676322363,0.647009324,0.772605304,0.116053936,0.520267122,0.056496704,0.842535517,0.803352433,0.737867853,0.668682917,0,1,1
57,Maz_F5_jae11B.mat,Mz,F,B,11,A,MzB,Mz_F5,1,0.633456096,0.425621094,0.257763975,0.468315716,0,0.987635322,0.618087086,1,1,1,0.442808112,0.574276824,0,0.20161896,0.731818302,0.784454162,0.718937571,0.644668091,0,0.897385106,0.647619048
58,Maz_F5_jae33C.mat,Mz,F,C,33,A,MzC,Mz_F5,0.342703349,0.313626672,0.496189605,0.373401535,0.548049579,0.762529308,0.491986839,0.426349088,0.481359232,0.453262632,0.279814198,0.16199688,0.864584534,0.905420096,0.031127431,0.857244901,0.874296341,0.871060242,0.836452086,0.133020344,0.859714727,0.676190476
59,Maz_F5_ndae11B.mat,Mz,F,B,11,A,MzB,Mz_F5,0.978827751,0.848807909,1,0.540920716,0.683640071,0.61869871,0.909838675,0.139784146,0.853793746,0.808580569,0.703894443,0.743837754,0.62763628,0.804938655,0.447967955,0.864599593,0.918149377,0.838011227,0.764047257,0,0.778768217,0.8
60,Maz_F5_ndae11B_2.mat,Mz,F,B,11,A,MzB,Mz_F5,0.794198565,0.882923047,0.37654321,0.577913774,0.315769705,0.46197245,0.736733178,0.761816152,0.706064068,0.973793768,0.67198492,0.75950078,0.011178979,0.329398975,0.114495535,0.690679648,0.775055287,0.767636266,0.722040617,0.633802817,0.801130583,0.771428571
61,Maz_F5_ndae11C.mat,Mz,F,C,11,A,MzC,Mz_F5,0.518600478,0.935452607,0.987273282,0.842071611,0.758491173,0.583895076,0.477817873,0.185485672,0.388642038,0.410272142,0.460870443,0.92299532,0.527601706,0.269762385,0.320787783,0.549326702,0.600824286,0.57101893,0.535378755,0.281690141,0.72949555,0.561904762
62,Maz_F5_ndae33C.mat,Mz,F,C,33,A,MzC,Mz_F5,0.272966507,0.450087226,0.731824417,0.549872123,0.698824918,1,0.392804076,0.248604392,0.350260251,0.279065691,0.131475311,0.536973479,0,0.804317441,0.153968122,0.926400169,0.873064938,0.803091055,0.72474325,0.589984351,0.822859607,0.561904762
63,Maz_F5_ndja11B.mat,Mz,F,B,11,a,MzB,Mz_F5,0.91680622,0.318666408,0.476985216,0.236390208,0.550947041,0.405920281,1,0.44704131,0.95103889,0.871554406,0.766771012,0.610733229,0.632707157,0.2360615,0.165317533,0.711129924,0.783725372,0.722971495,0.673496178,0.211267606,0.873372008,0.552380952
64,Maz_F5_nka33C.mat,Mz,F,C,33,a,MzC,Mz_F5,0,1,0.9218107,0.889020826,0.571712185,0.951787808,0,0.274134723,0,0.182873921,0,0.430702028,1,0.532225501,1,0,0,0,0,0.201877934,0,0
65,Maz_F5_wa11M.mat,Mz,F,M,11,a,MzM,Mz_F5,0.280442584,0,0.809404054,0.24588966,0,0.370970106,0.522606665,0,0.496381871,0.855252202,0.424652462,1,0.341707964,1,0,1,1,1,1,0,0.81770528,0.552380952
